length,width,height,x,y,z,weight,order
200,150,136,0,0,0,0,0
189,149,136,0,0,0,0,0
27,42,44,0,0,0,2,4
20,26,45,27,0,0,2,3
18,74,50,57,0,0,2,2
23,61,68,75,0,0,2,2
10,28,29,98,0,0,2,2
10,35,26,144,0,0,2,0
17,66,69,156,0,0,2,0
15,59,65,173,0,0,2,0
12,34,26,117,17,0,2,1
15,23,40,129,17,0,2,1
24,12,44,27,26,0,2,3
19,27,45,98,28,0,2,2
9,24,28,147,35,0,2,0
24,49,70,0,42,0,2,4
33,35,57,24,42,0,2,3
15,50,38,99,55,0,2,1
15,25,40,114,55,0,2,1
12,44,31,75,61,0,2,2
12,32,40,87,61,0,2,2
20,56,47,147,66,0,2,0
13,28,32,167,66,0,2,0
8,25,36,25,77,0,2,3
13,26,40,35,77,0,2,3
27,50,74,48,77,0,2,2
18,39,22,0,91,0,2,4
8,43,24,27,102,0,2,3
13,26,32,35,103,0,2,3
17,19,39,75,105,0,2,2
20,11,37,92,105,0,2,1
18,22,41,109,121,0,2,1
17,23,37,127,121,0,2,1
17,27,37,144,122,0,2,0
13,25,41,161,122,0,2,0
20,25,34,89,124,0,2,2
41,20,60,48,127,0,2,2
13,20,41,35,129,0,2,3
6,15,44,0,130,0,2,4
21,12,37,6,130,0,2,4
25,17,37,117,0,0,0,1
18,25,44,129,42,0,1,1
30,41,43,114,80,0,1,1
9,25,38,47,0,0,0,2
8,35,29,17,91,22,1,4
11,21,44,106,0,29,0,1
17,36,21,0,91,22,1,4
19,41,20,167,66,32,0,0
8,24,36,98,0,29,1,1
15,24,41,127,123,37,0,1
19,42,22,117,0,40,1,1
22,70,44,26,77,41,1,3
26,42,43,75,61,40,0,2
18,23,38,105,123,41,0,1
14,32,18,89,103,39,0,2
24,41,9,0,0,44,0,4
15,40,20,24,0,45,1,3
12,36,21,98,24,45,1,1
15,33,18,57,37,50,0,2
26,61,51,105,62,44,0,1
18,24,34,0,114,51,1,4
40,59,19,142,66,52,0,0
17,40,33,0,0,53,0,4
26,23,31,0,91,51,0,4
25,19,43,147,125,41,0,0
31,37,13,39,0,50,1,2
16,37,23,75,103,60,0,2
21,10,34,0,138,44,0,4
17,27,48,130,0,62,1,1
9,31,34,130,27,62,1,1
14,39,22,91,103,57,1,2
29,59,68,32,0,68,0,3
21,35,8,61,0,68,1,2
13,41,18,19,0,65,0,4
21,44,22,83,0,68,1,2
19,44,14,0,40,70,1,4
32,68,65,156,54,71,0,0
19,54,64,147,0,69,1,0
14,45,23,131,58,71,1,1
26,62,63,104,0,73,1,1
23,47,11,48,59,74,1,2
23,42,11,48,106,74,0,2
22,53,60,61,0,76,1,2
42,17,55,105,132,79,0,1
33,66,51,48,59,85,1,2
32,65,51,0,69,85,0,4
32,69,49,0,0,86,1,4
54,15,49,44,132,85,0,2
23,46,46,166,0,69,1,0
18,47,44,83,0,90,0,2
19,15,40,0,134,85,0,4
14,18,39,130,27,96,0,1
15,67,39,81,53,83,0,2
16,22,39,147,122,84,1,0
25,9,38,19,134,85,0,3
16,33,36,32,59,85,0,3
14,24,35,163,122,84,0,0
37,70,34,96,62,95,1,1
13,33,27,133,86,94,0,1
12,41,25,133,45,96,0,1
10,37,25,146,54,71,0,0
14,38,21,32,92,85,1,3
