length,width,height,x,y,z,weight,order
200,150,136,0,0,0,0,0
186,149,136,0,0,0,0,0
27,42,44,0,0,0,2,4
8,24,43,27,0,0,2,3
20,26,45,35,0,0,2,3
18,74,50,57,0,0,2,2
23,61,68,75,0,0,2,2
10,28,29,98,0,0,2,2
12,34,26,117,0,0,2,1
15,23,40,129,0,0,2,1
17,66,69,147,0,0,2,0
15,59,65,164,0,0,2,0
24,12,44,27,26,0,2,3
19,27,45,98,28,0,2,2
24,49,70,0,42,0,2,4
33,35,57,24,42,0,2,3
15,50,38,99,55,0,2,1
15,25,40,114,55,0,2,1
13,28,32,167,59,0,2,0
12,44,31,75,61,0,2,2
12,40,32,87,61,0,2,2
20,56,47,147,66,0,2,0
8,25,36,26,77,0,2,3
13,26,40,34,77,0,2,3
27,50,74,48,77,0,2,2
24,36,8,114,80,0,1,1
13,25,41,167,87,0,2,0
18,39,22,0,91,0,2,4
13,26,32,30,103,0,2,3
17,19,39,75,105,0,2,2
20,11,37,92,105,0,2,1
17,37,27,167,112,0,2,0
18,22,41,109,121,0,2,1
17,23,37,127,121,0,2,1
9,24,28,144,122,0,2,0
10,26,35,153,122,0,2,0
20,25,34,89,124,0,2,2
12,21,37,18,126,0,2,4
41,20,60,48,127,0,2,2
13,20,41,30,129,0,2,3
6,15,44,0,130,0,2,4
14,45,23,129,23,0,1,1
30,41,43,114,80,8,1,1
8,35,29,18,91,0,1,4
18,44,25,129,23,23,1,1
12,41,25,117,0,26,0,1
17,36,21,0,91,22,1,4
32,18,14,75,103,39,0,2
15,24,41,127,123,37,0,1
35,24,14,142,125,37,0,0
22,70,44,26,77,41,1,3
26,42,43,75,61,38,0,2
14,22,39,102,123,41,1,2
24,41,9,0,0,44,0,4
11,23,42,89,125,34,0,2
26,61,51,109,62,51,0,1
18,24,34,0,114,44,1,4
40,59,19,142,66,51,0,0
22,42,19,121,0,51,1,1
21,22,44,81,103,53,1,2
17,40,33,0,0,53,0,4
21,38,14,17,0,53,1,3
39,14,18,98,42,48,0,1
26,23,31,0,91,43,0,4
16,22,39,168,125,51,1,0
37,31,13,38,0,50,1,2
23,38,18,98,0,51,0,1
25,10,37,143,125,51,0,0
47,11,23,24,59,57,1,2
21,10,34,0,138,44,0,4
37,16,23,48,127,60,0,2
8,35,21,101,62,38,1,2
29,59,68,32,0,67,0,3
13,41,18,17,0,67,0,4
19,41,20,163,0,69,0,0
19,44,14,0,41,70,1,4
32,68,65,147,54,70,0,0
19,54,64,144,0,69,1,0
26,62,63,101,0,70,1,1
12,21,36,135,54,70,1,1
15,33,18,83,0,68,0,2
22,53,60,61,0,68,1,2
42,17,55,101,132,80,0,1
9,34,31,135,87,70,1,1
33,66,51,48,59,81,1,2
32,65,51,0,69,85,0,4
32,69,49,0,0,86,1,4
54,15,49,47,132,85,0,2
17,27,48,127,0,70,1,1
25,38,9,81,62,81,0,2
23,46,46,163,0,89,1,0
18,47,44,83,0,86,0,2
19,25,43,144,122,88,0,0
15,20,40,32,117,85,1,3
19,15,40,0,134,78,0,4
15,67,39,81,53,97,0,2
9,25,38,32,92,85,0,3
17,25,37,127,27,70,0,1
16,33,36,32,59,85,0,3
37,70,34,96,62,102,1,1
13,33,27,133,54,106,0,1
11,44,21,133,87,102,0,1
