length,width,height,x,y,z,weight,order
200,150,136,0,0,0,0,0
186,149,136,0,0,0,0,0
27,42,44,0,0,0,2,4
20,26,45,27,0,0,2,3
18,74,50,57,0,0,2,2
23,61,68,75,0,0,2,2
10,28,29,98,0,0,2,2
11,20,37,108,0,0,2,1
23,15,40,119,0,0,2,1
17,66,69,143,0,0,2,0
15,59,65,160,0,0,2,0
12,34,26,117,20,0,2,1
24,12,44,27,26,0,2,3
19,27,45,98,28,0,2,2
24,49,70,0,42,0,2,4
33,35,57,24,42,0,2,3
15,50,38,99,55,0,2,1
13,25,41,164,59,0,2,0
12,44,31,75,61,0,2,2
12,40,32,87,61,0,2,2
25,15,40,114,61,0,2,1
20,56,47,144,66,0,2,0
8,25,36,26,77,0,2,3
13,26,40,34,77,0,2,3
27,50,74,48,77,0,2,2
18,39,22,0,91,0,2,4
13,32,28,164,84,0,2,0
8,43,24,21,102,0,2,3
13,26,32,29,103,0,2,3
17,19,39,90,105,0,2,2
18,22,41,109,117,0,2,1
17,23,37,127,117,0,2,1
10,26,35,144,122,0,2,0
27,17,37,154,122,0,2,0
20,25,34,89,124,0,2,2
41,20,60,48,127,0,2,2
13,20,41,29,129,0,2,3
21,12,37,0,130,0,2,4
24,9,28,154,139,0,2,0
15,6,44,0,142,0,2,4
12,25,41,129,36,0,0,1
30,41,43,114,76,0,1,1
12,21,36,129,15,0,1,1
9,25,38,47,0,0,0,2
15,18,33,75,105,0,0,2
8,35,29,18,91,24,1,4
17,36,21,0,91,22,1,4
35,24,14,145,125,37,0,0
22,70,44,26,77,41,1,3
26,42,43,75,61,38,0,2
18,23,38,103,123,41,0,1
24,41,9,0,0,44,0,4
24,8,36,121,129,41,1,1
18,44,25,98,0,45,1,1
14,22,39,89,125,34,1,2
15,41,24,128,42,43,0,1
26,61,51,102,62,43,0,1
18,24,34,0,114,43,1,4
40,59,19,143,66,47,0,0
22,42,19,116,0,45,1,1
14,18,39,128,85,43,0,1
21,22,44,81,103,39,1,2
17,40,33,0,0,53,0,4
18,32,14,57,0,50,0,2
26,23,31,0,91,53,0,4
16,22,39,170,125,51,1,0
37,31,13,17,0,53,1,2
25,10,37,145,125,51,0,0
14,23,45,128,106,43,1,1
25,38,9,24,31,57,0,3
21,10,34,0,138,44,0,4
37,16,23,48,127,60,0,2
29,59,68,32,0,66,0,3
13,41,18,17,0,66,0,4
11,42,23,83,0,68,0,2
20,41,19,163,0,65,0,0
19,44,14,0,41,70,1,4
32,68,65,144,54,69,0,0
19,54,64,144,0,69,1,0
26,62,63,101,0,70,1,1
23,47,11,48,59,74,1,2
13,33,27,128,52,67,0,1
22,53,60,61,0,68,1,2
42,17,55,103,132,79,0,1
33,66,51,48,59,85,1,2
32,65,51,0,69,85,0,4
32,69,49,0,0,86,1,4
54,15,49,46,132,85,0,2
17,27,48,127,0,69,1,1
21,35,8,81,62,81,1,2
23,46,46,163,0,84,1,0
18,47,44,83,0,91,0,2
11,21,44,133,85,82,0,1
19,25,43,145,122,88,0,0
15,20,40,32,92,85,1,3
19,15,40,0,134,78,0,4
15,67,39,81,53,89,0,2
14,21,38,32,112,85,1,3
17,25,37,127,27,69,0,1
16,33,36,32,59,85,0,3
9,31,34,133,52,94,1,1
37,70,34,96,62,94,1,1
