length,width,height,x,y,z,weight,order
200,150,136,0,0,0,0,0
190,149,136,0,0,0,0,0
27,42,44,0,0,0,2,4
8,24,43,27,0,0,2,3
20,26,45,35,0,0,2,3
18,74,50,57,0,0,2,2
23,61,68,75,0,0,2,2
10,28,29,106,0,0,2,2
12,26,34,116,0,0,2,1
15,23,40,128,0,0,2,1
17,66,69,147,0,0,2,0
15,59,65,164,0,0,2,0
9,28,24,179,0,0,2,0
24,12,44,27,26,0,2,3
15,25,40,117,26,0,2,1
19,27,45,98,28,0,2,2
24,49,70,0,42,0,2,4
33,35,57,24,42,0,2,3
15,50,38,99,55,0,2,1
18,22,41,114,55,0,2,1
13,28,32,170,59,0,2,0
12,44,31,75,61,0,2,2
12,40,32,87,61,0,2,2
17,23,37,132,66,0,2,1
20,56,47,150,66,0,2,0
8,25,36,25,77,0,2,3
13,26,40,33,77,0,2,3
27,50,74,48,77,0,2,2
13,25,41,170,87,0,2,0
18,39,22,0,91,0,2,4
13,26,32,25,103,0,2,3
34,20,25,75,105,0,2,2
11,20,37,109,105,0,2,1
10,26,35,177,112,0,2,0
27,17,37,150,122,0,2,0
17,19,39,89,125,0,2,2
41,20,60,48,127,0,2,2
13,20,41,27,129,0,2,3
6,15,44,0,130,0,2,4
21,12,37,6,130,0,2,4
30,41,43,120,89,0,1,1
8,21,35,38,103,0,1,2
11,21,44,106,125,0,0,1
22,19,42,117,130,0,1,1
8,24,36,98,0,0,1,1
8,35,29,17,91,22,1,4
17,36,21,0,91,22,1,4
22,70,44,26,77,41,1,3
25,10,37,139,130,37,0,0
9,34,31,117,0,40,1,1
26,42,43,75,61,38,0,2
21,34,10,0,0,44,0,4
33,13,27,98,44,45,0,1
14,22,39,75,103,31,1,2
14,38,21,21,0,44,1,3
17,27,48,130,0,40,1,1
26,61,51,104,62,43,0,1
18,24,34,0,114,51,1,4
14,39,18,98,0,45,0,1
40,59,19,144,66,47,0,0
17,40,33,0,0,54,0,4
14,23,45,130,71,43,1,1
26,23,31,0,91,51,0,4
31,37,13,35,0,50,1,2
24,9,41,0,138,44,0,4
42,17,55,95,132,44,0,1
12,25,41,130,94,43,0,1
37,16,23,24,59,57,0,2
14,18,32,89,103,38,0,2
29,59,68,32,0,65,0,3
13,41,18,19,0,65,0,4
33,15,18,48,127,60,0,2
21,44,22,83,0,68,1,2
19,41,20,167,0,65,0,0
19,44,14,0,40,70,1,4
32,68,65,148,54,69,0,0
19,54,64,148,0,69,1,0
26,62,63,104,0,72,1,1
18,44,25,130,27,72,1,1
23,47,11,48,75,74,1,2
22,53,60,61,0,68,1,2
16,22,39,137,122,74,1,0
14,24,35,153,122,74,0,0
33,66,51,48,59,85,1,2
32,65,51,0,69,85,0,4
23,42,11,81,53,81,0,2
32,69,49,0,0,87,1,4
54,15,49,41,125,85,0,2
23,46,46,167,0,85,1,0
18,47,44,83,0,90,0,2
15,20,40,32,92,85,1,3
19,15,40,0,134,85,0,4
15,67,39,81,53,92,0,2
18,23,38,130,21,97,0,1
9,25,38,32,112,85,0,3
25,9,38,19,140,85,0,2
17,25,37,130,44,97,0,1
34,70,37,96,62,94,1,1
12,21,36,130,0,88,1,1
16,33,36,32,59,85,0,3
41,15,24,95,132,99,0,1
43,25,19,136,122,113,0,0
