length,width,height,x,y,z,weight,order
200,150,136,0,0,0,0,0
190,149,136,0,0,0,0,0
27,42,44,0,0,0,2,4
8,24,43,27,0,0,2,3
20,26,45,35,0,0,2,3
18,74,50,57,0,0,2,2
23,61,68,75,0,0,2,2
10,28,29,98,0,0,2,2
12,26,34,108,0,0,2,1
19,22,42,120,0,0,1,1
17,66,69,146,0,0,2,0
15,59,65,163,0,0,2,0
9,24,28,178,0,0,2,0
24,12,44,27,26,0,2,3
15,23,40,117,26,0,2,1
19,27,45,98,28,0,2,2
24,49,70,0,42,0,2,4
33,35,57,24,42,0,2,3
17,23,37,129,49,0,2,1
15,50,38,99,55,0,2,1
15,25,40,114,55,0,2,1
13,28,32,166,59,0,2,0
12,44,31,75,61,0,2,2
12,40,32,87,61,0,2,2
20,56,47,146,66,0,2,0
8,25,36,25,77,0,2,3
13,26,40,33,77,0,2,3
27,50,74,48,77,0,2,2
13,25,41,166,87,0,2,0
18,39,22,0,91,0,2,4
13,26,32,25,103,0,2,3
25,20,34,75,105,0,2,2
11,20,37,100,105,0,2,1
37,17,27,142,122,0,2,0
17,19,39,89,125,0,2,2
22,18,41,106,125,0,2,1
41,20,60,48,127,0,2,2
13,20,41,21,129,0,2,3
21,12,37,0,130,0,2,4
35,10,26,142,139,0,2,0
15,6,44,0,142,0,2,4
30,41,43,114,81,0,1,1
14,18,39,128,123,0,0,1
8,35,29,17,91,22,1,4
17,36,21,0,91,22,1,4
19,20,41,142,125,27,0,0
14,32,18,89,103,39,0,2
13,33,27,130,48,40,0,1
22,70,44,26,77,41,1,3
9,34,31,117,0,42,1,1
26,42,43,75,61,38,0,2
21,34,10,0,0,44,0,4
17,48,27,126,0,42,1,1
14,22,39,75,103,34,1,2
14,38,21,21,0,44,1,3
26,61,51,104,62,43,0,1
11,44,21,98,0,45,0,1
18,24,34,0,114,51,1,4
40,59,19,144,66,47,0,0
17,40,33,0,0,54,0,4
26,23,31,0,91,51,0,4
31,37,13,35,0,50,1,2
24,9,41,0,138,44,0,4
42,17,55,95,132,57,0,1
37,16,23,24,59,57,0,2
8,24,36,96,103,57,1,1
29,59,68,32,0,65,0,3
21,35,8,61,0,68,1,2
14,23,45,130,65,67,1,1
13,41,18,19,0,65,0,4
21,44,22,83,0,68,1,2
19,44,14,0,40,70,1,4
32,68,65,154,54,69,0,0
19,54,64,148,0,69,1,0
33,18,15,48,127,60,0,2
26,62,63,104,0,73,1,1
23,47,11,48,75,74,1,2
12,21,36,130,0,69,1,1
22,53,60,61,0,76,1,2
16,22,39,137,113,68,1,0
14,24,35,153,122,68,0,0
33,66,51,48,59,85,1,2
32,65,51,0,69,85,0,4
18,44,25,130,21,69,1,1
23,42,11,81,53,81,0,2
32,69,49,0,0,87,1,4
54,15,49,41,125,85,0,2
23,46,46,167,0,65,1,0
18,47,44,83,0,90,0,2
12,25,41,130,88,43,0,1
15,20,40,32,92,85,1,3
19,15,40,0,134,85,0,4
15,67,39,81,53,92,0,2
9,25,38,32,112,85,0,3
25,9,38,19,140,85,0,2
34,70,37,96,62,94,1,1
10,25,37,144,75,66,0,0
16,33,36,32,59,85,0,3
17,37,25,130,0,105,0,1
41,15,24,95,132,112,0,1
18,38,23,130,37,112,0,1
43,25,19,136,122,112,0,0
