length,width,height,x,y,z,weight,order
200,150,136,0,0,0,0,0
190,149,136,0,0,0,0,0
27,42,44,0,0,0,2,4
8,24,43,27,0,0,2,3
20,26,45,35,0,0,2,3
18,74,50,57,0,0,2,2
23,61,68,75,0,0,2,2
10,28,29,98,0,0,2,2
36,12,21,108,0,0,1,1
10,35,26,144,0,0,2,0
17,66,69,154,0,0,2,0
15,59,65,171,0,0,2,0
12,34,26,117,19,0,2,1
15,23,40,129,19,0,2,1
24,12,44,27,26,0,2,3
19,27,45,98,28,0,2,2
24,49,70,0,42,0,2,4
33,35,57,24,42,0,2,3
15,50,38,99,55,0,2,1
15,25,40,114,55,0,2,1
12,44,31,75,61,0,2,2
12,40,32,87,61,0,2,2
20,56,47,147,66,0,2,0
8,25,36,26,77,0,2,3
13,26,40,34,77,0,2,3
27,50,74,48,77,0,2,2
13,32,28,167,66,0,2,0
18,39,22,0,91,0,2,4
12,37,21,18,102,0,2,4
13,26,32,30,103,0,2,3
19,17,39,75,105,0,2,2
20,11,37,94,105,0,2,1
13,25,41,167,107,0,2,0
9,28,24,180,59,0,2,0
18,22,41,112,121,0,2,1
17,23,37,130,121,0,2,1
20,25,34,89,122,0,2,2
17,27,37,147,122,0,2,0
41,20,60,48,127,0,2,2
13,20,41,30,129,0,2,3
6,15,44,0,130,0,2,4
18,38,23,129,42,0,0,1
30,41,43,114,80,0,1,1
22,19,42,112,0,21,1,1
8,35,29,18,91,21,1,4
21,11,44,117,42,26,0,1
17,36,21,0,91,22,1,4
20,41,19,167,66,28,0,0
18,32,14,94,116,34,0,2
15,24,41,132,121,37,0,1
22,70,44,26,77,41,1,3
26,42,43,75,61,38,0,2
36,24,8,101,55,40,1,1
11,23,42,75,103,39,0,2
9,41,24,17,0,44,0,4
14,39,22,98,0,45,1,2
26,61,51,106,62,48,0,1
18,24,34,0,114,44,1,4
40,59,19,147,66,47,0,0
17,40,33,0,0,44,0,4
26,23,31,0,91,50,0,4
31,37,13,26,0,45,1,2
9,31,34,138,27,40,1,1
14,45,23,132,58,48,1,1
16,23,37,86,103,48,0,2
35,21,8,75,126,60,1,2
21,10,34,0,138,44,0,4
17,27,48,130,0,63,1,1
14,35,24,171,0,65,0,0
29,59,68,32,0,58,0,3
37,10,25,147,138,37,0,0
13,41,18,17,0,68,0,4
33,15,18,48,127,68,0,2
21,44,22,83,0,68,1,2
19,44,14,0,41,70,1,4
32,68,65,148,54,69,0,0
39,16,22,147,122,66,1,0
19,54,64,148,0,69,1,0
26,62,63,104,0,70,1,1
23,47,11,48,59,74,1,2
22,53,60,61,0,68,1,2
42,17,55,101,132,78,0,1
33,66,51,48,59,85,1,2
32,65,51,0,69,85,0,4
14,39,18,133,87,78,0,1
32,69,49,0,0,86,1,4
54,15,49,47,132,86,0,2
25,38,9,81,62,81,0,2
23,46,46,167,0,89,1,0
18,47,44,83,0,90,0,2
18,25,44,130,37,74,1,1
25,19,43,147,122,88,0,0
12,25,41,133,62,71,0,1
15,20,40,32,113,85,1,3
19,15,40,0,134,78,0,4
15,67,39,81,53,90,0,2
14,21,38,32,92,85,1,3
25,9,38,19,134,85,0,3
16,33,36,32,59,85,0,3
37,70,34,96,62,99,1,1
13,27,33,133,87,96,0,1
17,37,25,130,0,111,0,1
