length,width,height,x,y,z,weight,order
200,150,136,0,0,0,0,0
192,149,136,0,0,0,0,0
27,42,44,0,0,0,2,4
20,26,45,27,0,0,2,3
18,74,50,57,0,0,2,2
23,61,68,75,0,0,2,2
10,28,29,98,0,0,2,2
12,26,34,108,0,0,2,1
17,23,37,120,0,0,2,1
17,66,69,139,0,0,2,0
15,59,65,156,0,0,2,0
13,25,41,171,0,0,2,0
8,21,35,47,0,0,1,2
9,24,28,171,25,0,2,0
24,12,44,27,26,0,2,3
15,40,25,117,26,0,2,1
19,27,45,98,28,0,2,2
24,49,70,0,42,0,2,4
33,35,57,24,42,0,2,3
17,37,27,175,49,0,2,0
15,50,38,102,55,0,2,1
12,44,31,78,61,0,2,2
12,32,40,90,61,0,2,2
15,23,40,117,66,0,2,1
20,56,47,155,66,0,2,0
19,20,41,132,66,0,0,0
13,26,40,28,77,0,2,3
27,50,74,51,77,0,2,2
9,25,38,41,77,0,0,2
18,39,22,0,91,0,2,4
8,25,36,29,103,0,2,3
13,32,26,37,103,0,2,3
25,20,34,78,105,0,2,2
22,18,41,103,105,0,2,1
26,10,35,155,122,0,2,0
11,20,37,109,123,0,2,1
8,24,43,21,125,0,2,3
17,19,39,92,125,0,2,2
41,20,60,51,127,0,2,2
21,12,37,0,130,0,2,4
28,13,32,145,132,0,2,0
20,13,41,29,135,0,2,3
15,6,44,0,142,0,2,4
10,34,21,18,91,0,0,4
30,43,41,125,89,0,1,1
25,17,37,120,132,0,0,1
8,29,35,17,91,22,1,4
17,36,21,0,91,22,1,4
22,19,42,117,44,25,1,1
14,23,45,89,104,39,1,1
22,70,44,29,77,41,1,3
26,43,42,78,61,40,0,2
11,23,42,78,104,34,0,2
9,24,41,18,122,43,0,4
42,17,55,95,132,39,0,1
17,48,27,98,0,45,1,1
17,33,40,0,0,44,0,4
14,38,21,30,0,45,1,3
26,61,51,104,63,41,0,1
18,44,25,115,0,45,1,1
40,59,19,130,66,47,0,0
18,24,34,0,122,44,1,4
13,41,18,17,0,45,0,4
14,39,22,61,37,50,1,2
31,37,13,44,0,50,1,2
37,16,23,24,59,57,0,2
23,31,26,0,91,57,0,4
24,8,36,103,124,41,1,1
19,43,25,167,0,65,0,0
44,22,21,51,127,60,1,2
29,59,68,32,0,66,0,3
32,65,68,144,66,66,0,0
14,35,24,130,66,66,0,0
14,32,18,83,0,68,0,2
19,44,14,0,33,70,1,4
19,54,64,148,0,69,1,0
26,63,62,104,0,72,1,1
16,22,39,130,0,70,1,0
23,47,11,51,76,74,1,2
22,53,60,61,0,72,1,2
21,36,12,83,44,82,1,1
33,66,51,48,59,85,1,2
15,33,18,32,59,85,0,2
32,65,51,0,69,85,0,4
21,44,11,81,80,84,0,1
32,69,49,0,0,84,1,4
54,15,49,39,125,85,0,2
31,9,34,39,140,85,1,1
18,44,47,83,0,86,0,2
23,46,46,167,0,90,1,0
12,25,41,130,38,70,0,1
19,15,40,0,134,84,0,4
20,15,40,19,134,85,1,3
15,67,39,81,53,95,0,2
14,18,39,130,90,90,0,1
9,25,38,32,95,85,0,3
34,70,37,96,63,95,1,1
10,25,37,130,108,94,0,0
16,36,33,32,59,103,0,3
13,27,33,130,63,90,0,1
41,15,24,93,133,94,0,1
18,38,23,130,0,109,0,1
