length,width,height,x,y,z,weight,order
200,150,136,0,0,0,0,0
190,149,136,0,0,0,0,0
27,42,44,0,0,0,2,4
8,24,43,27,0,0,2,3
20,26,45,35,0,0,2,3
18,74,50,57,0,0,2,2
23,61,68,75,0,0,2,2
10,28,29,98,0,0,2,2
12,26,34,108,0,0,2,1
15,25,40,120,0,0,2,1
17,66,69,142,0,0,2,0
15,59,65,159,0,0,2,0
9,24,28,132,25,0,2,0
24,12,44,27,26,0,2,3
15,23,40,117,26,0,2,1
19,27,45,98,28,0,2,2
24,49,70,0,42,0,2,4
33,35,57,24,42,0,2,3
15,50,38,100,55,0,2,1
17,27,37,170,59,0,2,0
12,44,31,76,61,0,2,2
12,32,40,88,61,0,2,2
18,22,41,115,61,0,2,1
17,23,37,133,66,0,2,1
20,56,47,150,66,0,2,0
8,36,25,26,77,0,2,3
13,26,40,34,77,0,2,3
27,50,74,49,77,0,2,2
10,35,26,170,86,0,2,0
18,39,22,0,91,0,2,4
13,26,32,34,103,0,2,3
25,20,34,76,105,0,2,2
11,20,37,101,105,0,2,1
28,13,32,145,122,0,2,0
17,19,39,90,125,0,2,2
41,20,60,49,127,0,2,2
13,20,41,36,129,0,2,3
21,12,37,0,130,0,2,4
25,13,41,143,135,0,2,0
15,6,44,0,142,0,2,4
15,20,40,21,129,0,1,3
30,41,43,115,89,0,1,1
8,29,35,18,91,0,1,4
22,19,42,121,130,0,1,1
14,18,39,107,130,0,0,1
25,12,41,117,49,0,0,1
17,36,21,0,91,22,1,4
12,21,36,98,0,34,1,1
22,70,44,27,77,41,1,3
26,42,43,76,61,40,0,2
21,34,10,0,0,44,0,4
9,24,41,18,117,40,0,4
17,48,27,124,0,40,1,1
8,36,24,98,21,45,1,1
14,22,39,76,103,34,1,2
14,38,21,21,0,44,1,3
26,61,51,104,62,43,0,1
14,45,23,110,0,45,1,1
18,24,34,0,117,43,1,4
40,59,19,147,66,47,0,0
19,20,41,147,125,41,0,0
17,40,33,0,0,54,0,4
23,26,31,0,91,43,0,4
31,37,13,35,0,50,1,2
42,17,55,95,132,42,0,1
17,25,37,130,104,43,0,1
37,16,23,24,59,57,0,2
14,18,32,90,103,38,0,2
31,9,34,95,123,43,1,1
29,59,68,32,0,65,0,3
21,35,8,61,0,68,1,2
13,41,18,19,0,65,0,4
33,15,18,49,127,60,0,2
21,44,22,83,0,70,1,2
19,44,14,0,40,70,1,4
32,68,65,148,54,69,0,0
19,54,64,148,0,69,1,0
26,62,63,104,0,70,1,1
18,44,25,130,21,69,1,1
23,47,11,49,75,74,1,2
22,53,60,61,0,76,1,2
16,39,22,130,65,69,1,0
33,66,51,48,59,85,1,2
32,65,51,0,69,85,0,4
23,42,11,81,53,83,0,2
32,69,49,0,0,87,1,4
54,15,49,41,125,85,0,2
23,46,46,167,0,65,1,0
18,47,44,83,0,92,0,2
11,21,44,130,0,67,0,1
19,25,43,147,122,82,0,0
19,15,40,0,134,81,0,4
15,67,39,81,53,94,0,2
18,23,38,130,73,91,0,1
25,9,38,19,140,85,0,2
10,25,37,130,48,94,0,0
34,70,37,96,62,94,1,1
16,33,36,32,59,85,0,3
14,24,35,130,96,91,0,0
13,27,33,130,21,94,0,1
9,38,25,32,92,85,0,3
41,15,24,95,132,97,0,1
