length,width,height,x,y,z,weight,order
200,150,136,0,0,0,0,0
186,149,136,0,0,0,0,0
27,42,44,0,0,0,2,4
20,26,45,27,0,0,2,3
18,74,50,57,0,0,2,2
23,61,68,75,0,0,2,2
10,28,29,98,0,0,2,2
11,20,37,108,0,0,2,1
23,15,40,119,0,0,2,1
10,35,26,142,0,0,2,0
17,66,69,152,0,0,2,0
15,59,65,169,0,0,2,0
12,26,34,117,20,0,2,1
24,12,44,27,26,0,2,3
19,27,45,98,28,0,2,2
9,24,28,141,35,0,2,0
24,49,70,0,42,0,2,4
33,35,57,24,42,0,2,3
15,50,38,99,55,0,2,1
15,25,40,114,55,0,2,1
12,44,31,75,61,0,2,2
12,40,32,87,61,0,2,2
20,56,47,144,66,0,2,0
13,25,41,164,66,0,2,0
8,25,36,25,77,0,2,3
13,26,40,33,77,0,2,3
27,50,74,48,77,0,2,2
18,39,22,0,91,0,2,4
13,28,32,164,91,0,2,0
8,43,24,25,102,0,2,3
13,26,32,33,103,0,2,3
17,19,39,90,105,0,2,2
18,22,41,109,121,0,2,1
17,23,37,127,121,0,2,1
17,27,37,144,122,0,2,0
20,25,34,89,124,0,2,2
41,20,60,48,127,0,2,2
13,20,41,33,129,0,2,3
21,12,37,0,130,0,2,4
15,6,44,0,142,0,2,4
12,25,41,129,36,0,0,1
30,41,43,114,80,0,1,1
12,21,36,129,15,0,1,1
8,21,35,47,0,0,1,2
15,18,33,75,105,0,0,2
8,35,29,17,91,22,1,4
17,36,21,0,91,22,1,4
22,70,44,26,77,41,1,3
26,42,43,75,61,38,0,2
18,23,38,103,123,41,0,1
24,41,9,0,0,44,0,4
8,24,36,121,123,41,1,1
14,24,35,143,125,37,0,0
14,38,21,24,0,45,1,3
10,37,25,141,0,40,0,0
18,44,25,98,0,45,1,1
14,22,39,89,125,34,1,2
41,15,24,98,44,45,0,1
19,42,22,116,0,45,1,1
26,61,51,102,62,43,0,1
18,24,34,0,114,51,1,4
40,59,19,143,66,47,0,0
19,20,41,157,125,37,0,0
14,39,18,128,59,43,0,1
21,22,44,81,103,39,1,2
17,40,33,0,0,53,0,4
26,23,31,0,91,51,0,4
31,37,13,38,0,50,1,2
14,23,45,129,107,43,1,1
32,18,14,24,59,57,0,2
21,10,34,0,138,44,0,4
37,16,23,48,127,60,0,2
29,59,68,32,0,66,0,3
13,41,18,19,0,66,0,4
11,42,23,83,0,68,0,2
19,44,14,0,40,70,1,4
32,68,65,144,54,69,0,0
19,54,64,144,0,69,1,0
26,62,63,101,0,70,1,1
23,47,11,48,59,74,1,2
13,33,27,128,52,69,0,1
22,53,60,61,0,68,1,2
42,17,55,103,132,79,0,1
33,66,51,48,59,85,1,2
32,65,51,0,69,85,0,4
9,38,25,32,92,85,0,2
32,69,49,0,0,86,1,4
54,15,49,39,130,85,0,2
17,27,48,127,0,67,1,1
23,46,46,163,0,69,1,0
18,47,44,83,0,91,0,2
11,21,44,133,86,66,0,1
19,25,43,161,122,78,0,0
19,15,40,0,134,85,0,4
20,15,40,19,134,85,1,3
15,67,39,81,53,83,0,2
16,22,39,145,122,78,1,0
17,25,37,127,27,69,0,1
16,33,36,32,59,85,0,3
37,70,34,96,62,96,1,1
9,34,31,133,52,96,1,1
9,38,25,32,92,110,0,3
