length,width,height,x,y,z,weight,order
200,150,136,0,0,0,0,0
186,149,136,0,0,0,0,0
27,42,44,0,0,0,2,4
20,26,45,27,0,0,2,3
18,74,50,57,0,0,2,2
23,61,68,75,0,0,2,2
10,28,29,98,0,0,2,2
11,20,37,112,0,0,2,1
15,23,40,129,0,0,2,1
17,66,69,144,0,0,2,0
15,59,65,161,0,0,2,0
12,34,26,117,20,0,2,1
24,12,44,27,26,0,2,3
19,27,45,98,28,0,2,2
24,49,70,0,42,0,2,4
33,35,57,24,42,0,2,3
15,50,38,99,55,0,2,1
15,25,40,114,55,0,2,1
13,28,32,164,59,0,2,0
12,44,31,75,61,0,2,2
12,32,40,87,61,0,2,2
20,56,47,144,66,0,2,0
8,25,36,26,77,0,2,3
13,26,40,34,77,0,2,3
27,50,74,48,77,0,2,2
24,36,8,114,80,0,1,1
13,25,41,164,87,0,2,0
18,39,22,0,91,0,2,4
8,43,24,21,102,0,2,3
13,26,32,29,103,0,2,3
17,19,39,89,105,0,2,2
17,27,37,164,112,0,2,0
18,22,41,109,121,0,2,1
17,23,37,127,121,0,2,1
10,26,35,144,122,0,2,0
20,25,34,89,124,0,2,2
41,20,60,48,127,0,2,2
13,20,41,29,129,0,2,3
21,12,37,0,130,0,2,4
24,9,28,154,139,0,2,0
15,6,44,0,142,0,2,4
14,23,45,129,23,0,1,1
12,25,41,129,46,0,0,1
30,41,43,114,80,8,1,1
9,25,38,47,0,0,0,2
14,18,32,75,105,0,0,2
8,35,29,18,91,24,1,4
17,36,21,0,91,22,1,4
14,22,39,98,0,29,1,2
11,23,42,89,125,34,0,2
15,24,41,128,121,37,0,1
22,70,44,26,77,41,1,3
26,42,43,75,61,40,0,2
35,24,14,143,125,37,0,0
18,23,38,102,123,41,0,1
9,41,24,17,0,44,0,4
44,18,25,98,42,45,1,1
26,61,51,102,62,51,0,1
18,24,34,0,114,43,1,4
40,59,19,143,66,51,0,0
22,42,19,112,0,45,1,1
14,39,18,128,60,51,0,1
21,22,44,81,103,39,1,2
17,40,33,0,0,44,0,4
26,23,31,0,91,53,0,4
37,31,13,26,0,50,1,2
25,19,43,143,125,51,0,0
25,38,9,26,31,57,0,3
21,10,34,0,138,44,0,4
37,16,23,48,127,60,0,2
29,59,68,32,0,66,0,3
13,41,18,17,0,68,0,4
20,41,19,163,0,65,0,0
19,44,14,0,41,70,1,4
32,68,65,145,54,70,0,0
11,21,44,133,86,70,0,1
19,54,64,144,0,69,1,0
26,62,63,101,0,70,1,1
23,47,11,48,59,74,1,2
13,33,27,128,52,70,0,1
22,53,60,61,0,68,1,2
18,33,15,83,0,68,0,2
42,17,55,101,132,79,0,1
33,66,51,48,59,85,1,2
32,65,51,0,69,85,0,4
32,69,49,0,0,86,1,4
54,15,49,47,132,85,0,2
17,27,48,127,0,64,1,1
21,35,8,81,62,83,1,2
23,46,46,163,0,84,1,0
18,47,44,83,0,83,0,2
15,20,40,32,113,85,1,3
19,15,40,0,134,78,0,4
15,67,39,81,53,91,0,2
14,21,38,32,92,85,1,3
17,25,37,127,27,70,0,1
25,10,37,145,122,94,0,0
16,33,36,32,59,85,0,3
37,70,34,96,62,102,1,1
9,34,31,133,52,97,1,1
39,16,22,143,132,94,1,0
12,36,21,133,86,114,1,1
