length,width,height,x,y,z,weight,order
200,150,136,0,0,0,0,0
190,149,136,0,0,0,0,0
27,42,44,0,0,0,2,4
8,24,43,27,0,0,2,3
20,26,45,35,0,0,2,3
18,74,50,57,0,0,2,2
23,61,68,75,0,0,2,2
10,28,29,98,0,0,2,2
11,20,37,108,0,0,2,1
17,66,69,148,0,0,2,0
15,59,65,165,0,0,2,0
12,34,26,119,19,0,2,1
15,23,40,131,19,0,2,1
24,12,44,27,26,0,2,3
19,27,45,98,28,0,2,2
24,49,70,0,42,0,2,4
33,35,57,24,42,0,2,3
17,37,23,131,42,0,2,1
15,50,38,99,55,0,2,1
15,25,40,114,55,0,2,1
13,25,41,168,59,0,2,0
12,44,31,75,61,0,2,2
12,32,40,87,61,0,2,2
20,56,47,148,66,0,2,0
8,25,36,26,77,0,2,3
13,26,40,34,77,0,2,3
27,50,74,48,77,0,2,2
9,28,24,168,84,0,2,0
18,39,22,0,91,0,2,4
12,37,21,18,102,0,2,4
13,26,32,30,103,0,2,3
39,17,19,75,105,0,2,2
13,32,28,168,112,0,2,0
18,22,41,109,122,0,2,1
10,26,35,127,121,0,2,0
17,27,37,137,122,0,2,0
20,25,34,89,122,0,2,2
41,20,60,48,127,0,2,2
13,20,41,30,129,0,2,3
6,15,44,0,130,0,2,4
30,41,43,114,80,0,1,1
18,14,32,75,105,19,0,2
22,19,42,119,0,0,1,1
9,34,31,131,42,23,1,1
8,35,29,18,91,21,1,4
8,36,24,140,42,23,1,1
17,36,21,0,91,22,1,4
22,70,44,26,77,41,1,3
41,15,24,107,123,41,0,1
26,42,43,75,61,40,0,2
44,11,21,95,138,41,0,1
9,41,24,17,0,44,0,4
20,19,41,148,125,37,0,0
17,33,40,0,0,44,0,4
14,39,22,98,0,45,1,2
18,15,33,89,123,34,0,2
26,61,51,104,62,43,0,1
18,24,34,0,114,44,1,4
40,59,19,148,66,47,0,0
18,23,38,130,27,54,0,1
26,23,31,0,91,50,0,4
31,37,13,26,0,45,1,2
14,45,23,130,50,54,1,1
38,9,25,24,59,57,0,2
23,16,37,81,103,51,0,2
18,14,39,130,95,43,0,1
21,10,34,0,138,44,0,4
17,27,48,130,0,42,1,1
47,11,23,48,138,60,1,2
10,37,25,167,0,65,0,0
39,22,16,107,123,65,1,0
29,59,68,32,0,58,0,3
13,41,18,17,0,68,0,4
21,44,22,83,0,68,1,2
19,44,14,0,41,70,1,4
32,68,65,148,54,69,0,0
19,54,64,148,0,69,1,0
26,62,63,104,0,67,1,1
22,53,60,61,0,68,1,2
13,27,33,135,62,77,0,1
35,8,21,81,123,81,1,2
42,17,55,101,132,81,0,1
33,66,51,48,59,83,1,2
32,65,51,0,69,85,0,4
23,42,11,81,53,83,0,2
32,69,49,0,0,86,1,4
54,15,49,47,132,85,0,2
23,46,46,167,0,90,1,0
18,47,44,83,0,90,0,2
18,25,44,130,37,92,1,1
19,25,43,147,122,78,0,0
15,20,40,32,113,85,1,3
19,15,40,0,134,78,0,4
15,67,39,83,47,94,0,2
14,21,38,32,92,85,1,3
25,9,38,19,134,85,0,3
16,33,36,32,59,85,0,3
12,21,36,135,103,82,1,1
14,24,35,166,122,78,0,0
37,70,34,98,62,102,1,1
17,37,25,130,0,92,0,1
12,41,25,135,62,110,0,1
