length,width,height,x,y,z,weight,order
200,150,136,0,0,0,0,0
186,149,136,0,0,0,0,0
27,42,44,0,0,0,2,4
20,26,45,27,0,0,2,3
18,74,50,57,0,0,2,2
23,61,68,75,0,0,2,2
10,28,29,106,0,0,2,2
11,20,37,116,0,0,2,1
15,23,40,129,0,0,2,1
17,66,69,144,0,0,2,0
15,59,65,161,0,0,2,0
12,34,26,117,20,0,2,1
24,12,44,27,26,0,2,3
19,27,45,98,28,0,2,2
24,49,70,0,42,0,2,4
33,35,57,24,42,0,2,3
15,50,38,99,55,0,2,1
15,25,40,114,55,0,2,1
13,28,32,164,59,0,2,0
12,44,31,75,61,0,2,2
12,32,40,87,61,0,2,2
20,56,47,144,66,0,2,0
8,25,36,25,77,0,2,3
13,26,40,35,77,0,2,3
27,50,74,48,77,0,2,2
13,25,41,164,87,0,2,0
18,39,22,0,91,0,2,4
8,43,24,27,102,0,2,3
13,26,32,35,103,0,2,3
17,19,39,90,105,0,2,2
18,22,41,109,121,0,2,1
17,23,37,127,121,0,2,1
10,26,35,144,122,0,2,0
9,24,28,154,122,0,2,0
17,27,37,163,122,0,2,0
20,25,34,89,124,0,2,2
41,20,60,48,127,0,2,2
13,20,41,35,129,0,2,3
6,15,44,0,130,0,2,4
21,12,37,6,130,0,2,4
14,23,45,129,23,0,1,1
12,25,41,129,46,0,0,1
30,41,43,114,80,0,1,1
15,18,33,75,105,0,0,2
8,24,36,98,0,0,1,1
9,25,38,47,0,0,0,2
8,35,29,17,91,22,1,4
17,36,21,0,91,22,1,4
15,24,41,127,121,37,0,1
22,70,44,26,77,41,1,3
21,22,44,75,103,39,1,2
26,42,43,75,61,40,0,2
14,18,39,103,123,41,0,1
24,41,9,0,0,44,0,4
14,24,35,142,125,37,0,0
14,38,21,24,0,45,1,3
44,18,25,98,42,45,1,1
14,22,39,89,125,34,1,2
18,38,23,98,0,45,0,1
26,61,51,101,62,43,0,1
18,24,34,0,114,51,1,4
40,59,19,142,66,47,0,0
17,40,33,0,0,53,0,4
22,42,19,116,0,45,1,1
12,36,21,127,60,43,1,1
26,23,31,0,91,51,0,4
25,19,43,156,125,37,0,0
31,37,13,38,0,50,1,2
11,21,44,127,96,43,0,1
32,18,14,24,59,57,0,2
21,10,34,0,138,44,0,4
37,16,23,48,127,60,0,2
29,59,68,32,0,66,0,3
13,41,18,19,0,66,0,4
11,42,23,83,0,68,0,2
19,41,20,163,0,65,0,0
19,44,14,0,40,70,1,4
32,68,65,142,54,69,0,0
19,54,64,144,0,69,1,0
26,62,63,101,0,70,1,1
23,47,11,48,59,74,1,2
13,33,27,127,52,70,0,1
22,53,60,61,0,68,1,2
42,17,55,103,132,80,0,1
33,66,51,48,59,85,1,2
32,65,51,0,69,85,0,4
32,69,49,0,0,86,1,4
54,15,49,39,130,85,0,2
17,27,48,127,0,64,1,1
23,46,46,163,0,85,1,0
8,35,21,32,92,85,1,2
18,47,44,83,0,91,0,2
19,15,40,0,134,85,0,4
20,15,40,19,134,85,1,3
15,67,39,81,53,83,0,2
16,22,39,145,122,80,1,0
17,25,37,127,27,70,0,1
10,25,37,161,122,80,0,0
16,33,36,32,59,85,0,3
37,70,34,96,62,97,1,1
9,34,31,133,52,97,1,1
9,38,25,32,92,106,0,3
