length,width,height,x,y,z,weight,order
200,150,136,0,0,0,0,0
186,149,136,0,0,0,0,0
27,42,44,0,0,0,2,4
8,24,43,27,0,0,2,3
20,26,45,35,0,0,2,3
18,74,50,57,0,0,2,2
23,61,68,75,0,0,2,2
10,28,29,98,0,0,2,2
10,35,26,144,0,0,2,0
17,66,69,154,0,0,2,0
15,59,65,171,0,0,2,0
12,34,26,117,12,0,2,1
15,23,40,129,12,0,2,1
24,12,44,27,26,0,2,3
19,27,45,98,28,0,2,2
9,28,24,144,35,0,2,0
24,49,70,0,42,0,2,4
33,35,57,24,42,0,2,3
15,50,38,99,55,0,2,1
15,25,40,114,55,0,2,1
13,28,32,171,59,0,2,0
12,44,31,75,61,0,2,2
12,32,40,87,61,0,2,2
20,56,47,147,66,0,2,0
8,25,36,25,77,0,2,3
13,26,40,33,77,0,2,3
27,50,74,48,77,0,2,2
18,39,22,0,91,0,2,4
13,26,32,25,103,0,2,3
17,19,39,75,105,0,2,2
20,11,37,92,105,0,2,1
20,25,34,92,116,0,2,2
18,22,41,112,121,0,2,1
17,23,37,130,121,0,2,1
17,27,37,147,122,0,2,0
13,25,41,164,122,0,2,0
41,20,60,48,127,0,2,2
13,20,41,27,129,0,2,3
6,15,44,0,130,0,2,4
21,12,37,6,130,0,2,4
15,41,24,129,35,0,0,1
9,25,38,38,103,0,0,3
25,12,41,112,0,0,0,1
30,41,43,114,80,0,1,1
8,35,29,17,91,22,1,4
18,44,25,129,35,24,1,1
12,36,21,117,12,26,1,1
17,36,21,0,91,22,1,4
14,22,39,98,0,29,1,2
10,25,37,144,0,26,0,0
11,21,44,100,123,34,0,1
22,70,44,26,77,41,1,3
21,22,44,75,103,39,1,2
26,42,43,75,61,40,0,2
14,18,39,119,123,41,0,1
24,41,9,0,0,44,0,4
8,24,36,111,123,41,1,1
11,23,42,89,125,34,0,2
15,40,20,24,0,45,1,3
18,38,23,98,22,45,0,1
15,33,18,57,37,50,0,2
19,42,22,116,0,49,1,1
26,61,51,106,62,49,0,1
18,24,34,0,114,51,1,4
40,59,19,146,66,49,0,0
19,20,41,156,125,41,0,0
17,40,33,0,0,53,0,4
26,23,31,0,91,51,0,4
31,37,13,39,0,50,1,2
14,23,45,132,54,49,1,1
14,24,35,142,125,37,0,0
21,10,34,0,138,44,0,4
37,16,23,48,127,60,0,2
29,59,68,32,0,68,0,3
21,35,8,61,0,68,1,2
13,41,18,19,0,65,0,4
13,27,33,132,77,49,0,1
19,44,14,0,40,70,1,4
32,68,65,146,54,69,0,0
32,18,14,19,59,70,0,2
19,54,64,144,0,69,1,0
26,62,63,101,0,71,1,1
23,47,11,48,77,74,1,2
22,53,60,61,0,76,1,2
42,17,55,100,132,80,0,1
33,66,51,48,59,85,1,2
32,65,51,0,69,85,0,4
32,69,49,0,0,86,1,4
54,15,49,40,125,85,0,2
17,27,48,127,0,71,1,1
25,38,9,81,62,83,0,2
18,44,47,83,0,68,0,2
23,46,46,163,0,69,1,0
19,25,43,142,122,82,0,0
19,15,40,0,134,85,0,4
15,67,39,81,53,92,0,2
16,22,39,161,122,82,1,0
21,14,38,19,134,85,1,3
17,25,37,127,27,71,0,1
16,33,36,32,59,85,0,3
37,70,34,96,62,100,1,1
9,34,31,133,52,94,1,1
